Year ,Month,State,County,Unemployment_Rate
2020,June,CA,Daly City city,0.161
2020,June,CA,Dana Point city,0.12
2020,June,CA,Danville town,0.1
2020,June,CA,Darwin CDP,0
2020,June,CA,Davis city,0.081
2020,June,CA,Day Valley CDP,0.125
2020,June,CA,Deer Park CDP,0.198
2020,June,CA,Del Aire CDP,0.163
2020,June,CA,Delano city,0.316
2020,June,CA,Delhi CDP,0.148
2020,June,CA,Delleker CDP,0
2020,June,CA,Del Mar city,0.103
2020,June,CA,Del Monte Forest CDP,0.164
2020,June,CA,Del Rey CDP,0.181
2020,June,CA,Del Rey Oaks city,0.156
2020,June,CA,Denair CDP,0.139
2020,June,CA,Derby Acres CDP,0.029
2020,June,CA,Desert Hot Springs city,0.226
2020,June,CA,Desert View Highlands CDP,0.285
2020,June,CA,Diablo CDP,0
2020,June,CA,Diamond Bar city,0.174
2020,June,CA,Diamond Springs CDP,0.162
2020,June,CA,Dinuba city,0.225
2020,June,CA,Discovery Bay CDP,0.125
2020,June,CA,Dixon city,0.136
2020,June,CA,Dixon Lane Meadow Creek CDP,0.122
2020,June,CA,Dollar Point CDP,0.076
2020,June,CA,Dorrington CDP,0.135
2020,June,CA,Dos Palos city,0.12
2020,June,CA,Downey city,0.194
2020,June,CA,Duarte city,0.229
2020,June,CA,Dublin city,0.109
2020,June,CA,Ducor CDP,0.158
2020,June,CA,Dunsmuir city,0.078
2020,June,CA,Durham CDP,0.059
2020,June,CA,Dustin Acres CDP,0.082
2020,June,CA,Earlimart CDP,0.25
2020,June,CA,East Foothills CDP,0.067
2020,June,CA,East Hemet CDP,0.217
2020,June,CA,East Los Angeles CDP,0.293
2020,June,CA,East Oakdale CDP,0.128
2020,June,CA,Easton CDP,0.153
2020,June,CA,East Orosi CDP,0.444
2020,June,CA,East Palo Alto city,0.122
2020,June,CA,East Pasadena CDP,0.089
2020,June,CA,East Porterville CDP,0.358
2020,June,CA,East Quincy CDP,0.02
2020,June,CA,East Richmond Heights CDP,0.065
2020,June,CA,East San Gabriel CDP,0.083
2020,June,CA,East Shore CDP,0.804
2020,June,CA,East Sonora CDP,0
2020,June,CA,Eastvale City city,0.135
2020,June,CA,Edwards AFB CDP,0.195
2020,June,CA,El Cajon city,0.178
2020,June,CA,El Centro city,0.245
2020,June,CA,El Cerrito city,0.13
2020,June,CA,El Cerrito CDP,0.094
2020,June,CA,El Dorado Hills CDP,0.104
2020,June,CA,El Granada CDP,0.101
2020,June,CA,Elk Grove CDP,0.127
2020,June,CA,Elkhorn CDP,0.21
2020,June,CA,Elmira CDP,0.117
2020,June,CA,El Monte city,0.217
2020,June,CA,El Paso de Robles (Paso Robles) city,0.115
2020,June,CA,El Rio CDP,0.208
2020,June,CA,El Segundo city,0.224
2020,June,CA,El Sobrante CDP,0.161
2020,June,CA,El Verano CDP,0.054
2020,June,CA,Emeryville city,0.098
2020,June,CA,Empire CDP,0.104
2020,June,CA,Encinitas city,0.11
2020,June,CA,Escalon city,0.088
2020,June,CA,Escondido city,0.131
2020,June,CA,Esparto CDP,0.101
2020,June,CA,Eureka city,0.118
2020,June,CA,Exeter city,0.169
2020,June,CA,Fairfax town,0.092
2020,June,CA,Fairfield city,0.134
2020,June,CA,Fair Oaks CDP,0.094
2020,June,CA,Fairview CDP,0.068
2020,June,CA,Fallbrook CDP,0.13
2020,June,CA,Fall River Mills CDP,0
2020,June,CA,Farmersville city,0.203
2020,June,CA,Farmington CDP,0
2020,June,CA,Fellows CDP,0.176
2020,June,CA,Felton CDP,0.175
2020,June,CA,Ferndale city,0.047
2020,June,CA,Fetters Hot Springs Agua Caliente CDP,0.054
2020,June,CA,Fillmore city,0.11
2020,June,CA,Firebaugh city,0.231
2020,June,CA,Florence Graham CDP,0.25
2020,June,CA,Florin CDP,0.217
2020,June,CA,Folsom city,0.096
2020,June,CA,Fontana city,0.139
2020,June,CA,Foothill Farms CDP,0.142
2020,June,CA,Ford City CDP,0.193
2020,June,CA,Foresthill CDP,0.1
2020,June,CA,Forest Meadows CDP,0.19
2020,June,CA,Forestville CDP,0.133
2020,June,CA,Fort Bragg city,0.121
2020,June,CA,Fortuna city,0.102
2020,June,CA,Foster City city,0.076
2020,June,CA,Fountain Valley city,0.148
2020,June,CA,Fowler city,0.111
2020,June,CA,Frazier Park CDP,0.187
2020,June,CA,Freedom CDP,0.189
2020,June,CA,Fremont city,0.105
2020,June,CA,French Camp CDP,0.169
2020,June,CA,Fresno city,0.145
2020,June,CA,Friant CDP,0.236
2020,June,CA,Fullerton city,0.15
2020,June,CA,Furnace Creek CDP,0.019
2020,June,CA,Galt city,0.121
2020,June,CA,Gardena city,0.214
2020,June,CA,Garden Acres CDP,0.209
2020,June,CA,Garden Grove city,0.187
2020,June,CA,Georgetown CDP,0.256
2020,June,CA,Gilroy city,0.126
2020,June,CA,Glendale city,0.211
2020,June,CA,Glendora city,0.162
2020,June,CA,Glen Ellen CDP,0
2020,June,CA,Golden Hills CDP,0.088
2020,June,CA,Gold River CDP,0.148
2020,June,CA,Goleta City,0.102
2020,June,CA,Gonzales city,0.03
2020,June,CA,Goshen CDP,0.174
2020,June,CA,Graeagle CDP,0.123
2020,June,CA,Grand Terrace city,0.138
2020,June,CA,Granite Bay CDP,0.118
2020,June,CA,Grass Valley city,0.16
2020,June,CA,Graton CDP,0.209
2020,June,CA,Greenfield city,0.124
2020,June,CA,Greenhorn CDP,0.208
2020,June,CA,Green Valley CDP,0
